Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.5549,1.6958,1.3856,1.1489,79.2%,6.1157,223.78
TimesFM-2.5 (Zero-Shot),3.5142,3.6272,3.1316,2.6459,16.7%,6.3347,148.50
Chronos-2 (Zero-Shot),1.8866,1.9881,1.6812,1.3646,72.9%,5.2951,81.97
AutoARIMA,2.0979,2.2867,1.8695,1.5242,45.8%,4.0818,1703.47
LightGBM,2.5379,2.6370,2.2615,2.4197,0.0%,0.7713,1944.24
DeepAR (Deep Learning),1.9423,2.0568,1.7308,1.9031,4.2%,0.2688,3997.04
TimesFM-3 (Fine-Tuned),0.9576,1.1381,0.8533,0.8064,76.0%,4.8275,204.91
Chronos-2 (Fine-Tuned),2.1416,2.2474,1.9085,1.5417,72.9%,4.9592,135.32
