Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.2436,1.3950,0.3067,0.8708,96.9%,5.1181,207.48
TimesFM-2.5 (Zero-Shot),2.4519,2.9652,0.6047,2.0186,33.3%,6.4784,140.34
Chronos-2 (Zero-Shot),1.1798,1.3493,0.2909,0.9365,96.9%,6.3675,75.97
AutoARIMA,0.9555,1.0696,0.2356,0.7180,93.8%,4.3680,1988.76
LightGBM,2.5460,2.9792,0.6279,2.4315,21.9%,0.4822,2113.68
DeepAR (Deep Learning),2.0490,2.3366,0.5053,2.0073,3.1%,0.2673,4039.58
TimesFM-3 (Fine-Tuned),0.8662,1.0560,0.2136,0.6813,94.8%,4.1353,218.07
Chronos-2 (Fine-Tuned),1.8050,2.0709,0.4451,1.3126,79.2%,5.0731,137.37
