Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.8314,2.3394,0.3086,1.3318,91.7%,6.2753,209.14
TimesFM-2.5 (Zero-Shot),0.8261,1.0637,0.1392,0.7286,100.0%,5.4767,145.56
Chronos-2 (Zero-Shot),1.3351,1.7236,0.2250,1.0575,100.0%,6.9960,89.76
AutoARIMA,12.5609,12.7562,2.1165,11.8871,2.1%,4.3641,2075.46
LightGBM,1.2002,1.4694,0.2022,1.0555,17.7%,0.8290,1947.78
DeepAR (Deep Learning),1.3056,1.6961,0.2200,1.2312,25.0%,0.5538,4067.09
TimesFM-3 (Fine-Tuned),1.7241,2.1251,0.2905,1.2753,84.4%,4.6889,208.65
Chronos-2 (Fine-Tuned),2.7383,3.2008,0.4614,1.9152,85.4%,6.6266,136.49
