Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.5119,1.6117,0.0927,1.0351,89.6%,4.2323,206.75
TimesFM-2.5 (Zero-Shot),0.5958,0.6946,0.0365,0.4734,100.0%,3.2871,140.36
Chronos-2 (Zero-Shot),1.8158,1.9866,0.1113,1.2514,85.4%,4.2938,75.43
AutoARIMA,2.7751,3.8800,0.1701,2.4570,58.3%,4.0200,1723.36
LightGBM,5.0244,6.2365,0.3080,4.4025,20.8%,2.6243,1911.67
DeepAR (Deep Learning),3.1300,3.9090,0.1919,3.0626,3.1%,0.4482,4057.16
TimesFM-3 (Fine-Tuned),0.8164,0.8878,0.0500,0.5761,92.7%,3.2012,211.66
Chronos-2 (Fine-Tuned),1.6946,1.8395,0.1039,1.1714,85.4%,4.4361,136.71
