Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.3127,1.5042,0.2970,1.0587,81.2%,6.0234,212.99
TimesFM-2.5 (Zero-Shot),2.8867,3.2887,0.6531,2.1352,62.5%,5.3134,143.50
Chronos-2 (Zero-Shot),2.7801,3.1179,0.6290,2.0654,49.0%,5.2865,76.85
AutoARIMA,2.1718,2.6596,0.4914,1.5954,66.7%,5.1354,1581.65
LightGBM,3.5274,3.9448,0.7981,3.2068,4.2%,0.8850,1935.76
DeepAR (Deep Learning),2.9035,3.2948,0.6569,2.8597,0.0%,0.2844,3990.23
TimesFM-3 (Fine-Tuned),1.0721,1.3088,0.2426,0.8538,80.2%,4.6422,209.96
Chronos-2 (Fine-Tuned),1.2796,1.4726,0.2895,1.0855,82.3%,6.3138,138.34
