Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),0.7091,0.8091,0.6372,0.5905,99.0%,4.5757,209.12
TimesFM-2.5 (Zero-Shot),2.7410,3.0226,2.4631,2.1690,20.8%,4.9040,141.45
Chronos-2 (Zero-Shot),0.7383,0.8137,0.6634,0.5337,99.0%,3.2652,75.76
AutoARIMA,2.1411,2.7798,1.9240,1.6792,60.4%,4.1306,1306.04
LightGBM,2.1946,2.3827,1.9722,2.1864,3.1%,0.6323,1838.34
DeepAR (Deep Learning),2.0983,2.3257,1.8856,2.0591,3.1%,0.2569,4032.69
TimesFM-3 (Fine-Tuned),0.6250,0.7945,0.5616,0.5130,99.0%,3.4390,210.67
Chronos-2 (Fine-Tuned),0.5884,0.6821,0.5288,0.4483,99.0%,3.0088,135.92
