Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),3.9952,4.4087,0.2483,3.2750,17.7%,5.6659,380.22
TimesFM-2.5 (Zero-Shot),4.3621,4.9805,0.2711,3.5622,30.2%,6.9169,300.47
Chronos-2 (Zero-Shot),4.4873,4.8649,0.2789,3.8004,15.6%,4.9089,402.82
AutoARIMA,2.3794,2.6212,0.1479,1.7605,34.4%,4.4285,1666.51
LightGBM,4.1295,4.6809,0.2567,4.0565,7.3%,1.1913,2039.55
DeepAR (Deep Learning),3.3902,3.8587,0.2107,3.2774,2.1%,0.7542,4165.61
TimesFM-3 (Fine-Tuned),4.4549,4.7425,0.2769,3.7552,10.4%,5.1845,222.38
Chronos-2 (Fine-Tuned),4.1757,4.5119,0.2596,3.5141,16.7%,4.6461,165.56
