Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),3.1982,3.4682,0.1188,2.1546,85.4%,9.0939,211.55
TimesFM-2.5 (Zero-Shot),6.2059,7.1855,0.2304,4.1785,56.2%,11.5552,151.30
Chronos-2 (Zero-Shot),2.5220,2.7988,0.0936,1.8822,82.3%,9.3711,79.48
AutoARIMA,3.6664,4.2505,0.1361,2.9516,36.5%,5.2714,1196.34
LightGBM,9.5666,10.9955,0.3552,9.5341,1.0%,0.2043,1931.89
DeepAR (Deep Learning),6.1270,7.2548,0.2275,5.9656,2.1%,1.0272,4086.75
TimesFM-3 (Fine-Tuned),0.6688,0.7975,0.0248,0.6264,100.0%,5.4829,207.87
Chronos-2 (Fine-Tuned),1.2039,1.4746,0.0447,1.1148,89.6%,7.8440,136.23
