Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.6340,1.9249,0.2497,1.3290,21.9%,2.1275,211.68
TimesFM-2.5 (Zero-Shot),0.5497,0.6160,0.0840,0.3954,100.0%,2.7707,139.24
Chronos-2 (Zero-Shot),0.1943,0.2386,0.0297,0.2364,100.0%,2.1995,75.93
AutoARIMA,0.4709,0.5758,0.0720,0.4291,86.5%,2.5432,2987.09
LightGBM,0.9248,1.0600,0.1413,0.8540,18.8%,0.3348,1802.42
DeepAR (Deep Learning),0.5267,0.6055,0.0805,0.5128,16.7%,0.1055,4048.64
TimesFM-3 (Fine-Tuned),0.6630,0.8008,0.1013,0.4731,82.3%,1.6376,206.97
Chronos-2 (Fine-Tuned),0.1633,0.2064,0.0250,0.2113,100.0%,2.0068,134.30
