Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),1.2249,1.4415,0.0613,1.0036,62.5%,3.5914,225.42
TimesFM-2.5 (Zero-Shot),1.6198,1.9092,0.0810,1.2815,51.0%,3.1745,146.87
Chronos-2 (Zero-Shot),1.2805,1.5408,0.0641,1.0574,62.5%,3.2144,76.48
AutoARIMA,1.6533,2.2004,0.0827,1.3630,63.5%,3.4577,1972.26
LightGBM,3.0715,3.4555,0.1537,3.0157,6.2%,0.5420,2179.23
DeepAR (Deep Learning),2.9672,3.5367,0.1484,2.8173,12.5%,1.0126,3990.90
TimesFM-3 (Fine-Tuned),1.5610,1.7307,0.0781,1.1480,68.8%,3.4481,207.21
Chronos-2 (Fine-Tuned),1.0943,1.4023,0.0547,0.9361,68.8%,3.6840,136.37
