Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),0.9374,1.0716,0.0506,0.7691,96.9%,5.5511,219.50
TimesFM-2.5 (Zero-Shot),0.7264,0.9343,0.0392,0.8765,100.0%,7.3324,142.55
Chronos-2 (Zero-Shot),0.9835,1.1753,0.0531,0.7433,100.0%,5.2413,77.41
AutoARIMA,2.3312,2.5139,0.1258,1.5702,97.9%,5.8504,1998.52
LightGBM,1.2403,1.5077,0.0669,1.0346,15.6%,0.6497,1872.21
DeepAR (Deep Learning),0.9616,1.0355,0.0519,0.9064,5.2%,0.3696,4068.51
TimesFM-3 (Fine-Tuned),1.3739,1.6559,0.0741,1.0008,87.5%,4.8737,210.50
Chronos-2 (Fine-Tuned),0.9493,1.0534,0.0512,0.7153,100.0%,5.0481,136.86
