Model,MAE,RMSE,WAPE,CRPS,80% Coverage,Interval Width,Latency (ms)
TimesFM-3 (Zero-Shot),0.7369,0.8239,0.0281,0.5572,95.8%,3.3305,211.27
TimesFM-2.5 (Zero-Shot),0.3863,0.5392,0.0147,0.4120,94.8%,3.1124,142.15
Chronos-2 (Zero-Shot),0.5382,0.6652,0.0205,0.4622,86.5%,2.7229,75.87
AutoARIMA,1.5256,1.6925,0.0581,1.1729,49.0%,3.1986,1274.70
LightGBM,2.5977,2.7918,0.0990,2.6365,3.1%,1.3354,1941.25
DeepAR (Deep Learning),3.1249,3.4956,0.1191,3.0006,7.3%,0.8503,4039.41
TimesFM-3 (Fine-Tuned),1.0474,1.1702,0.0399,0.8418,65.6%,4.0861,218.37
Chronos-2 (Fine-Tuned),0.5047,0.5962,0.0192,0.4370,92.7%,2.8732,141.11
